"name","gender"
"BJERKELI Haavard","Men"
"SOLBJOERG Oeystein","Men"
"ANDRESEN Jan Egil","Men"
"HOEGNES Lars","Men"
"ANDERSEN Remi","Men"
"SWENSON Carl","Men"
"MEHLE Joze","Men"
"THOR OLSEN Jonas","Men"
"AASEN Tommy","Men"
"PEDERSEN Audun","Men"
"MULLER Rune","Men"
"FINSTAD Arnstein","Men"
"EDEN Peter","Men"
"TYNELL Daniel","Men"
"AHRLIN Jerry","Men"
"SVAERD Oskar","Men"
"SVAN Mattias","Men"
"AUKLAND Joergen","Men"
"AASMAE Meelis","Men"
"JOHANSSON Robert","Men"
"HALLINGSTAD Anders","Men"
"GJERDALEN Gard Filip","Men"
"SINNES Svein Tore","Men"
"ERIKSSON Erik","Men"
"ROSVALL Martin","Men"
"JONSSON Magnus","Men"
"ERIKSSON Henrik","Men"
"FAUNER Silvio","Men"
"COSTANTIN Pierluigi","Men"
"SVAHN Per-Olov","Men"
"CATTANEO Marco","Men"
"LANG Toni","Men"
"BURN Bernhard","Men"
"CAVIEZEL Gian","Men"
"RAUDSEPP Pavo","Men"
"STITZL Andreas","Men"
"TAUBER Martin","Men"
"EREMENKO Dmitry","Men"
"ROMER David","Men"
"KOCH Beat","Men"
"KLOBUCAR Denis","Men"
"METTLER Tino","Men"
"VALBUSA Fulvio","Men"
"PINTER Juergen","Men"
"HOLIENCIK Stanislav","Men"
"EDER Johannes","Men"
"DI SANTO Biagio","Men"
"SARACCO Cristian","Men"
"GUTIERREZ Juan Jesus","Men"
"DERRICK Ben","Men"
"ISOMETSAE Jari","Men"
"ROCAREK Jiri","Men"
"HORYNA Ondrej","Men"
"KRSKA Jan","Men"
"VALOUSEK Zbynek","Men"
"VRABEC Martin","Men"
"MOELLER Martin Troels","Men"
"BRYDL Pavel","Men"
"SOLBAKKEN Haavard","Men"
"SLECHTA Daniel","Men"
"KRIANINE Serguei","Men"
"BOLCHAKOV Nikolai","Men"
"KATES Adam","Men"
"IMAI Hiroyuki","Men"
"ENMAN Eli","Men"
"STEWART David","Men"
"SAIDLA Karl","Men"
"KOONS Benjamin","Men"
"PIROGOV Dmitri","Men"
"FREEMAN Justin","Men"
"GIESE Chad","Men"
"HOCHTL Kevin","Men"
"HIETAMAEKI Karri","Men"
"SAITO Ryo","Men"
"OLSCHANSKI Vladimir","Men"
"HORIGOME Mitsuo","Men"
"MICHL Petr","Men"
"NORIN Artem","Men"
"SCHWARZ Alexander","Men"
"SUNDBERG Sam","Men"
"BULGAKOV Maxim","Men"
"SKJAERLI Brynjar","Men"
"OYAMA Katsuhiro","Men"
"LARSSON Mikael","Men"
"ISAKSSON Martin","Men"
"EIDE Anders","Men"
"NES Bjarne","Men"
"MORTENSEN Arne","Men"
"PALOLAHTI Ari","Men"
"KINNUNEN Marko","Men"
"PIETILAE Sami","Men"
"YLOENEN Petri","Men"
"RIIPINEN Hannu","Men"
"PEKKALA Jukka","Men"
"URAIN Gerhard","Men"
"PASSERON Stephane","Men"
"CARLSSON Lars","Men"
"HOFMANN Egon","Men"
"KLESSEN Dirk","Men"
"EDER Johann","Men"
"SCHNEIDER Erik","Men"
"SIELER Christian","Men"
"BJONVIKEN Tore","Men"
"VILISSOV Vladimir","Men"
"MAECHLER Patrik","Men"
"SCHREIBER Michal","Men"
"SKAAREN Arve","Men"
"SOKLIC Matej","Men"
"ROONET Risto","Men"
"MAYER Marc","Men"
"MARIOTTI DORDI Klaus","Men"
"MOLIN PRADEL Luca","Men"
"KUZMIN Daniel","Men"
